datetime;evaluatorName;evaluatorNote;lineupID;totalSelected;visualSelected;cbSelected;bothSelected;visualEntries;cbEntries
2017-03-21 21:48:56;evaluator7;CBRS_vs_VisualRS evaluation; 14520302990511 ;3;1;2;0;14;5,7
2017-03-21 21:50:15;evaluator7;CBRS_vs_VisualRS evaluation; 14440602161805 ;3;1;2;0;1;5,10
2017-03-21 21:52:39;evaluator7;CBRS_vs_VisualRS evaluation; 9500728151711 ;4;3;1;0;6,7,12;3
2017-03-21 21:54:40;evaluator7;CBRS_vs_VisualRS evaluation; 12031205160707 ;4;1;3;0;1;5,8,9
2017-03-21 21:59:03;evaluator7;CBRS_vs_VisualRS evaluation; 11321204140014 ;5;2;3;0;7,16;8,11,17
2017-03-21 22:00:40;evaluator7;CBRS_vs_VisualRS evaluation; 10030930160410 ;4;3;1;0;4,9,14;18
2017-03-21 22:06:41;evaluator7;CBRS_vs_VisualRS evaluation; 8510828140704 ;4;2;2;0;15,19;7,9
2017-03-21 22:09:33;evaluator7;CBRS_vs_VisualRS evaluation; 17370616060704 ;4;3;1;0;1,7,19;9
2017-03-21 22:13:44;evaluator7;CBRS_vs_VisualRS evaluation; 10190205080208 ;4;4;0;0;6,7,9,10;
2017-03-21 22:22:53;evaluator7;CBRS_vs_VisualRS evaluation; 13270512150406 ;4;3;0;1;1,3,5;
2017-03-21 22:24:18;evaluator7;CBRS_vs_VisualRS evaluation; 13190215170014 ;4;2;2;0;7,14;5,6
2017-03-21 22:26:49;evaluator7;CBRS_vs_VisualRS evaluation; 13581007160707 ;4;3;1;0;3,10,15;9
2017-03-21 22:56:08;evaluator7;CBRS_vs_VisualRS evaluation; 13270512150406 ;4;2;1;1;1,11;2
2017-03-21 22:57:09;evaluator7;CBRS_vs_VisualRS evaluation; 11400127100602 ;4;0;2;2;;6,7
2017-03-21 22:58:24;evaluator7;CBRS_vs_VisualRS evaluation; 1010719161804 ;4;1;3;0;5;4,7,15
